title
藥師證實「吃這6種藥」易便秘！感冒、止咳藥都中了
陰莖「小肉條太短」易不舉！泌尿醫教2招自測
高一弟「跨年夜狂尻」尿都血！嚇傻衝急診　醫：整個塞住
吃「人蔘」不等於進補！恐吃到眼壓、血壓飆升　醫示警10族群小心
眼睛痠痛成現代文明病！營養師分享多吃5種營養素　4個穴道按摩更紓壓
元旦寶寶來了！北市聯醫婦幼院區有3位　國泰、長庚醫院也喜迎新生兒
口渴才喝太晚了！「脫水4大警訊」一次看　營養師曝1日飲水公式
別只靠遮瑕膏！營養師激推6種「消黑眼圈」食材：還有助消疲勞
他吃完三寶飯「突肚痛」！醫檢查：常被誤認胃病　晚上發作機率更高
他「GG太歪」崩潰求救！醫曝3情況要手術
為了養生！她青菜只吃水煮　醫點名2壞處
跨年老喝掛？喝酒前後「3招防宿醉」超有效　千萬別空腹
北市嗨跨年！小心昏倒意外　醫曝「高峰時段」：每年10～20人發生
瘋跨年膀胱快爆了？「吃4類食物」會更想尿尿
約砲跨年增！感染醫曝「往年經驗」：2～3周後會有性病就診潮
醫警告「孩子4症狀中1」恐不是普通感冒！嚴重需住ICU
跨年夜到元旦清晨最冷！國健署提醒做好5事「防心血管疾病突襲」
施明德傳「病危急需輸血」　北榮院長曝病況：病情已回穩
年輕人「脈無力」！中醫：常有2習慣　9大徵兆心臟注意了
XBB疫苗增一選擇！Novavax最快1／9開打　台大醫分析「僅1族群該等」
杏鮑菇能控制體重！醫揭4好處認證「吃滷味可以夾」　1類人要少吃
缺血！全台血液庫存僅4.1天　台北、台中急缺「部分血型剩不到3天」
在交友軟體找結婚對象？　研究驚揭「2殘酷下場」
營養師推「9種產熱食物」！吃了超暖　2飲品喝下肚反而更冷
成人洗牙利用率低於5成！醫曝警訊：沒定期洗牙者「中風風險增6成」
估單日兩萬人確診！年輕人染疫後1症狀　中醫也有感
營養師分享6種「解決排便不順暢」食物必吃　咖啡、重口味先避免
年輕人罹癌變多！醫曝7大隱憂　一堆人都中了
草莓怎麼洗才乾淨？　正確3步驟一次看：先別切蒂頭
年紀增長「中途軟掉」　泌尿醫程威銘：讓血管健康做對運動能改善
她過敏、鼻塞「動3次手術」仍呼吸困難　竟是「空鼻症」鼻內現亂流
楊志良才提少子化！國健署揭試管嬰兒擴大補助成果：催生1.5萬名寶寶
泌尿醫急勸「愛愛後必做2件事」！感染率秒降
翻來覆去睡不著？4大睡眠壞習慣　太晚做運動也上榜
金管會「防堵靠生病賺錢」要改革實支實付　病友團體怒批沒人性
校園割頸案震驚全台！「身為家長可以做些什麼？」　心理師10點建議
「社會救助法」沒接住2類人　民團：別等下個社會新聞發生才修法
臉上「危險三角區」冒痘痘別亂擠！醫警告：細菌恐竄腦
30歲女產後圓禿「頭髮幾乎全掉光」　台大醫調劑藥水療法搶救
秋冬染流感、黴漿菌咳不停！　營養師激推「5大護喉食材」
老是嘴饞？可能缺少某些營養　營養師：別忽略身體警訊
脹氣、牙齦出血？身體出現5症狀　營養師：補充營養素改善
遭電擊沒傷口也要就醫！醫：3症狀「電流經過體內」　尿出可樂色小心
國三生「裝葉克膜救不回」！醫揭原因：嘗試召喚奇蹟的做法
新冠、流感疫情升！北市12區院外門診「加開周六上午免費疫苗專診」
「三班護病比」元旦來不及上路！ 薛瑞元：1月最後一次協商
「割頸案隱蔽校名」兒少法規定挨批　衛福部：不能製造更多恐慌
89猴飆車狂追「醫差點被打死」！抖揭恐怖經歷：防不勝防
改寫牙周病患命運！醫：顯微牙周手術精準治療創造醫病雙贏
冬天「過敏性鼻炎」狂發作！中醫推「三九貼」舒緩：4族群適用
JN.1恐成主流株！台大醫認「絕對不利因素」病毒轉換＝無敵星星破滅
天冷手腳癢又痛！醫：小心凍瘡　「7種人」最容易發生
疾管署定調跨年「不會有強制口罩令」　台大醫示警：2措施要做好
白髮變黑髮「必吃7神級食物」！中醫激推有效
害怕農藥殘留？洗草莓3步驟　營養師：1天吃10顆維生素C達標
美麗華Mia C'bon頂級超市、錢都上榜！食藥署蔬果抽驗64件不合格
「蛤蜊」開了不一定是熟了！食藥署曝「安全加熱時間」：小心中毒
《菸防法》稽查逾1.9萬件「累計裁罰2539萬」　電子煙違規最多！
短細不足親密來補　泌尿科醫程威銘：訓練柔軟度延長陰莖使用距離
每個月「這7天」＝最佳減脂期！營養師激推　排毒菜單曝光
國三生遭割頸不治！4類人心理狀態要留意　臨床心理師憂「1現象」
廠商機器歲修！「淋巴瘤、腫瘤檢查藥」缺貨　食藥署：已專案輸入
