title
陪三重跨年！賴清德挺李坤城拱心宮參拜　蔡明堂邀鄉親元旦升旗
趙少康拋「當選捐官邸」　黃揚明：國家資產不該循官員個人想法
高雄環狀輕軌「成圓」今試營運　李柏毅：進一步爭取捷運紫線
趙少康稱泰勒絲不敢來台　基進：難道Coldplay、YOASOBI無憂患意識？
分析／趙少康辭中廣、捐官邸強勢主導辯論　以攻代守狂轟民進黨
日僑、留學生平安！　謝長廷提醒旅客：警報解除前先至高處避難
吳欣盈稱擋服貿讓服務業薪水不漲　時力：應譴責2013年黃國昌、柯文哲
外交部慰問日本7.6強震　目前未聞僑團、留學生組織受災
不只泰勒絲　趙少康參選至今還曾搬出周杰倫
陳建仁南下屏東萬金聖母教堂　讚徐富癸「慢飛天使爸爸」很了不起
日本石川7.6強震最大震度7 　賴清德慰問：願提供最大協助
轟小英逼習近平對一中表態　趙少康：像逼問人家何時第一次上床
賴清德競總列「趙少康10造謠」　封他：胡說八道吵架王
分析／感冒不當「病貓」　蕭美琴辯論「精準打擊」連金童也吃鱉
趙少康：請辭中廣董事長「立刻生效」　明天就把辭職書交董事會
吳欣盈辯論「召喚」柯文哲逾20遍　民進黨：令人摸不著頭緒
「智慧、魄力、格局」　侯友宜讚趙少康：擔任副總統的證明
蕭美琴：總統不是在選名嘴　「選對的人就是要選即戰力」
馬英九元旦桃園助選　為牛煦庭、涂權吉加持期2024贏回藍天
批民進黨散播「五月天遭陸施壓」假消息　趙少康：五月天應該出來講
趙少康稱特勤看守賴清德老家起碼7000萬　國安局：據點月租8000元
選戰是戰爭與和平的選擇！　趙少康：賴清德的信仰讓台灣跟著陪葬
談AI政策　蕭美琴指要兼顧資安：當選後可找趙少康、吳欣盈共同推動
趙少康反將蕭美琴！批賴才引起憲政危機　嗆：難道妳沒認真助選？
承認再生能源進度落後　蕭美琴：但在野口中的弊案不到百分之一
蕭美琴質疑哪些前瞻不該做　吳欣盈幫柯文哲緩頰：是拒絕「信貸台灣」
邀趙少康當NCC主委、副總統發言人　吳欣盈：在職場發揮專長
趙少康稱泰勒絲怕打仗不來台　賴清德競總：打臉蔣萬安「演哪齣？」
蕭美琴問為何反對前瞻計畫？　趙少康：藍執政縣市要這個不給那個
喊話別搞棄保　吳欣盈曝受邀任副手心情：太好了我等了20年
趙少康提台積電赴美設廠困難重重　蕭美琴：我們一起面對！別扯後腿
被問少子化怎解決？蕭美琴談長照政策、育幼津貼　講到超時被消音
侯友宜拋0到6歲國家養　趙少康搶攻青年票：第2胎可留職留薪
趙少康宣布辭中廣董事　賴清德競總：仍有27.6%股份
吳欣盈稱台積電變「美積電」　蕭美琴：不該政治消費台灣的驕傲
核廢料放哪裡？　趙少康：90%國家都地下掩埋「台灣不能這樣做嗎？」
守住黃國書本命區！綠營江肇國陸戰展實力　百場開講吸2萬人
吳欣盈：海峽兩岸和平沒有戰爭　是建立在中華民國概念上
年末衝刺！蘇巧慧周末連跑近30行程　見支持者熱情喊：繼續衝
批「賴清德台獨戰爭」三位一體　趙少康轟蔡英文奉習近平為聖經
蕭美琴指侯將憲法九二共識化　懂中文都知道「雙方都認同才叫共識」
如何粉碎介選？　賴清德自薦：請支持「中國最不喜歡的候選人」
批民進黨搞壞媒體風氣　趙少康當場點名「三民自」：就是綠媒
讚趙少康政治金童、吳欣盈熱衷國際事務　蕭美琴：願邀請共商國是
修正「憲法災難說」？　賴清德：應該根據憲法推動國政
蕭美琴辯論回擊藍白　「菲律賓沒有民進黨，南海一樣有摩擦」
批民進黨執政8年丟9邦交國　趙少康：藍執政後就跟陸談外交休兵
快訊／唱國歌避掉「吾黨所宗」？　賴清德反駁：我真的有唱！
如何擴展台灣國際空間？　吳欣盈先罵外交部：穿國王新衣
吳欣盈：服務業薪水不漲　因ECFA被綠營擋下
蕭美琴：對的政策讓台灣脫離22Ｋ　面對國際3變局「做妥前瞻佈局」
賴清德遭諷「獨狡獸」　民進黨批侯辦：轉移焦點
LIVE／副總統辯論會下午2時登場　蕭美琴、趙少康、吳欣盈正面交鋒
國三生割頸案被點名發聲　王婉諭3千字文列社安網漏洞：我努力不夠
辯論會手拿「民主的獨裁」嗆蔡英文　趙少康：怎什麼都聽習近平的？
「九二共識等同中華民國」　馬辦批蔡、賴：反對的人就是反對憲法
「金孫誣憲台獨再現」　侯辦：賴清德已經成為「獨狡」獸！
張宏陸徒步拜票…腳爆長繭！林國春、徐巧芯組CP「國家重芯」
強調國民黨堅守蔣經國路線！　朱立倫偕同侯友宜、韓國瑜頭寮謁陵
新壽、宏泰停賣共50張保單　公司：調整商品與實支實付無關
賴清德撇清「卡管案」 遭管中閔反擊　侯友宜跟打：政治干預明顯
「民進黨立委恐大輸15席」　游盈隆：若蔡其昌也被拉下不寒而慄
2024跨年北捷疏運238.3萬人次！　相較去年增加22.1萬
賴清德誤喊「中華民國是災難」　黃暐瀚分析衝擊：會贏的很辛苦
夏克立跨界挺麻吉！　與候選人同台
總統棄保效應難發酵？　黃揚明曝原因：有一股堅定力量支持柯文哲
神人把《我的世界》改成《血源詛咒》　還原度超高玩家狂敲碗：快點出
省話一姊再發功！盧秀燕跨年致詞8字又創紀錄　要大家幫一件事
蕭美琴辯論恐擋不住？　凌濤曝弱點：趙少康一定COMBO她
媒體辣問綠電弊案　蔡英文：我不會容忍執政團隊的害群之馬
林楚茵彙整趙少康辯論11大錯誤訊息　外媒也查核發言不實
高嘉瑜挺美甲美睫業者「展現女力」　細數蔡英文政府5大青年政策
暗喻棄保！侯友宜盼集中力量　「侯康配是唯一能打敗賴蕭的組合」
快訊／網傳造假私密影片　羅致政明提告籲檢調徹查
日學者小笠原分析「最終民調」！賴、侯肉搏對決　柯成選戰關鍵
土城激戰成指標戰區！民進黨首場萬人造勢明登場　蔡蘇賴蕭齊聚
媽媽市長盧秀燕陪廖偉翔掃街　齊喊未來全力拚捷運藍線
沈榮津加持左楠半導體產業　李柏毅承諾助攻高科技育才、攬才
綠輔選要角：藍白呈現「等腰三角」　柯文哲很強不會被棄保
反嗆勞動部不思檢討改進　趙少康：當選定大幅提高勞保基金報酬率
副總統辯論藍白陣營9大錯假訊息一次看　7行政部門嚴守澄清
